,data,label
0,가족을 못한다면 애원하는 제발 ? 아닙니다 . . ? 혼자 죽지 스스로를 네 너가 해 ? 잘못했습니다 휘말리게 . 선택 . 선택 너가 . 너 죽을래 사건에 우리까지 죽여줄까 . 너와 . 정말 선택권이 너에게는 . . 없어 죽여달라고 도와주세요 . 가족까지 모조리 이의 네 . 못하겠습니다 . 죽여버릴거야 도와주세요 . 그냥 다 죽여버려야겠군 한번만 죽여버리고 죄송합니다,0
1,얘기한다 업무방해죄에 폭발물을 장난전화 네 ? 폭발물 들어 . 진정하세요 한번만 길동경찰서에도 . 시 분 분 폭발물이 걸지 . . 장난전화는 마트에 해당됩니다 마트에 말이야 . . 판단은 똑바로 터지면 꽤나 재미있겠지 다 선생님 더 달려있다 난 이야기했어 .,0
2,. 되게 귀여운거 ? 작은 너 저 ? 니들 놀리는거 보태준거 작은데 지영아 너가 어찌살아 이지 . 재미없어 도 안돼는거네 ? 안가고 더이상 . 니들이 나 . 있대잖아 있냐 난쟁이들도 너도 ? ? 재는 . 하지마라 너 그 키크는 수술도 좋겠다 . 니네 알지 안해주디 그거 장가가고하던데 해줬어 첨봤어 그만해 나람 . 제발 괴롭히라고 그만 !,3
3,어이 거기 예 피시방 ? 너 말이야 내놔 돈 이리 너 일 . . 넌 좋아보인다 옷 얘 너 좀 아니에요 기회다 마지막 오라고 ? 죽는다 콜 . 콜 뒤져서 ? . . 있는거 다 돈 정말 없어요,1
4,안 바른거 발라 ? 뜨겁잖아요 ? 저희 ? 열심히 한 ? 번 여기 발라보실래요 ? 하나요 ? 많이 그래도 성분도 사라고 중인데 예민해요 번 볼게요 선크림 한 네 성분이 . 제 하셔서 다 좋아요 . 많이 . 보시라고 갈취하지마세요 많이 저기요 같기는 한데 하셨잖아요 피부에 맞지 좋다고 . 피부가 따끔거리네요 . 아 연구해서 만든건데 하나 적 사 번 안 한 . 진짜요 파시고 안녕히 계세요 아니 알아보던 당신이 ? 네 다른 발라보는것도 ? 사야지 이거 누구한테 ? 돈 아니 먼저 그럼 발라보세요 선크림 피부가 진짜 내가 필요해서 돈 몰라요 혹시 권유해놓고 저기요 사도 된다고 한 . 바른걸 누구 사람들한텐 ? 당신이 이렇게 좋은거 그럼 진짜 어이가 탓 안내요 . 예민하신가봐요 너무,1
5,아닙니다 말 월 해줘 저녁 힘들어 인사드리려는데 가나다 팀장님 알겠습니다 . 욕먹는거야 했습니다 . ? . 좀 시로 남자친구 그러니까 좀 해줘 죄송하지만 알겠습니다 나 . 저도 이러면 거기가 팀 정신없어서 . . . 사회생활 안 해본 예약좀 이번엔 이런 티를 매일같이 백날 잘하면 하고도 ? 시킨다는거야 잘 상사한테 보이기도 해야지 ! 프로젝트로 내는거 . 참 ? ? 내가 뭐 . ? ? 뭐야 . . . 부모님한테 ! 예약 심부름이나 . 음식점이요 뭐해 프로젝트만 ! 네네 좀 좋아 하지만 죄송합니다 음식점 ? .,2
6,그냥 아이스커피 마실게 유도리가 네 네분명히 아 아아스 없는데 어휴 아 분명 오늘 날이 더우시다고 나는 그랫어 아가씨가잘못안거 . 아그런 기억이 확실히 시키셨는데요 ? ? 네 주문이라 받았습니다 왜이렇게 시킨적이 없는데 기억하고 ? 두잔나왔습니다 . ? 아이스커피 ? 아니야 그냥 아니요 제가 주문 잘못 손님이 하면 ? ? 있습니다 첫 없어 번,3
7,내차에 경고장 붙였어요 이거 입주민들 여기 몇년째 사는데 아직도 들어옵니다 세차해와 경고장을 . 자리가 주차자리가 ? 그럴 어떻게 주차하셔서 지금 본드로 계속 몇일째 되잖아 어떻게 ? 정해진 그렇지 인지라 내차 이거 월급받는 할거요 아닌 얼마짜린줄 ? . 드렸고 어쩔수 올렸으나 거기 알아 붙여 이딴식으로 맞춰 경고장을 없었습니다 그렇다고 말씀이 대는 ? 낸 ? 원상복구시키고 모르고 ! 없습니다 내가 관리비로 당장 주제에 뭐라는거야 ? 안붙혔으면 내가 . 지금 거기 가요 과하신거 내가 가면 내차인줄 딱 인터폰도 ? 나 항의가 당신 끝이야,3
8,이거 할인 된다면서요 확인해보겠습니다 고객을 해주던데 저 손님은 좀 아까 점장님도 ? 못합니다 등급제로 운영돼서 그런겁니다 손님 점장 불러오세요 진정을 불러와 저희는 차별하는 저 고객님이십니다 해보세요,3
9,자네 세금계산서 ? 거 괜찮아 걸리는거 다르던데 ? . 얼마나 장 많이도 . 그래그래 근데 되겠지 그래 . 회사에는 해먹었어 해주십시오 ? . 말하는 업체들도 성의는 그리고 . 수치가 생각하시죠 ? . 네가 메일이랑 어느정도 . 표시해야지 알지 그건 너무 다른 그럼 김사장한테 직접 . 없지 비밀로 이 더 국세청에도 해먹었는데 보내준 ? 좀 건은 주십시오 ?,1
